timestamp,city,temperature,description
2026-03-31T10:55:13.958Z,Andaman and Nicobar Islands,29,broken clouds
2026-03-31T13:24:45.761Z,Andaman and Nicobar Islands,28.18,scattered clouds
2026-03-31T15:04:35.453Z,Andaman and Nicobar Islands,26.51,mist
2026-03-31T17:00:38.244Z,Andaman and Nicobar Islands,25.51,mist
2026-03-31T19:04:55.057Z,Andaman and Nicobar Islands,27.2,overcast clouds
2026-03-31T20:45:55.209Z,Andaman and Nicobar Islands,27.15,overcast clouds
2026-03-31T22:36:40.042Z,Andaman and Nicobar Islands,27.14,overcast clouds
2026-04-01T02:48:46.119Z,Andaman and Nicobar Islands,28.93,overcast clouds
2026-04-01T05:56:24.865Z,Andaman and Nicobar Islands,32.51,broken clouds
2026-04-01T07:42:28.734Z,Andaman and Nicobar Islands,31.51,broken clouds
2026-04-01T09:08:49.206Z,Andaman and Nicobar Islands,29.51,light rain
2026-04-01T10:59:53.837Z,Andaman and Nicobar Islands,27.51,broken clouds
2026-04-01T13:27:11.363Z,Andaman and Nicobar Islands,28.06,overcast clouds
2026-04-01T15:06:53.852Z,Andaman and Nicobar Islands,27.84,overcast clouds
2026-04-01T16:58:38.694Z,Andaman and Nicobar Islands,25.51,mist
2026-04-01T19:05:45.910Z,Andaman and Nicobar Islands,24.51,mist
2026-04-01T20:48:23.042Z,Andaman and Nicobar Islands,26.59,broken clouds
2026-04-01T22:39:51.474Z,Andaman and Nicobar Islands,26.24,broken clouds
2026-04-02T02:32:56.867Z,Andaman and Nicobar Islands,27.51,mist
2026-04-02T05:42:29.032Z,Andaman and Nicobar Islands,31.51,scattered clouds
2026-04-02T07:16:47.515Z,Andaman and Nicobar Islands,31.1,overcast clouds
2026-04-02T09:00:55.641Z,Andaman and Nicobar Islands,33.51,few clouds
2026-04-02T10:53:08.481Z,Andaman and Nicobar Islands,30.51,few clouds
2026-04-02T13:19:33.901Z,Andaman and Nicobar Islands,28.67,broken clouds
2026-04-02T14:58:20.356Z,Andaman and Nicobar Islands,28.51,haze
2026-04-02T16:57:57.013Z,Andaman and Nicobar Islands,27.51,mist
2026-04-02T19:00:05.198Z,Andaman and Nicobar Islands,25.51,mist
2026-04-02T20:37:45.265Z,Andaman and Nicobar Islands,26.91,overcast clouds
2026-04-02T22:33:35.902Z,Andaman and Nicobar Islands,26.6,overcast clouds
2026-04-03T02:34:42.030Z,Andaman and Nicobar Islands,29.51,few clouds
2026-04-03T05:42:38.791Z,Andaman and Nicobar Islands,31.09,overcast clouds
2026-04-03T07:13:07.875Z,Andaman and Nicobar Islands,31.13,overcast clouds
2026-04-03T08:57:47.973Z,Andaman and Nicobar Islands,32.51,scattered clouds
2026-04-03T10:45:30.340Z,Andaman and Nicobar Islands,32.51,scattered clouds
2026-04-03T13:09:05.324Z,Andaman and Nicobar Islands,28.51,haze
2026-04-03T14:44:45.480Z,Andaman and Nicobar Islands,27.51,haze
2026-04-03T16:43:47.388Z,Andaman and Nicobar Islands,27.51,haze
2026-04-03T18:52:12.222Z,Andaman and Nicobar Islands,26.51,haze
2026-04-03T20:39:45.142Z,Andaman and Nicobar Islands,27,scattered clouds
2026-04-03T22:36:19.048Z,Andaman and Nicobar Islands,26.78,scattered clouds
2026-04-04T02:26:28.100Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-04-04T05:22:01.881Z,Andaman and Nicobar Islands,31.51,scattered clouds
2026-04-04T07:04:30.536Z,Andaman and Nicobar Islands,30.51,scattered clouds
2026-04-04T08:43:46.053Z,Andaman and Nicobar Islands,29.99,overcast clouds
2026-04-04T10:36:37.372Z,Andaman and Nicobar Islands,29.32,overcast clouds
2026-04-04T13:00:44.907Z,Andaman and Nicobar Islands,28.1,overcast clouds
2026-04-04T14:35:31.787Z,Andaman and Nicobar Islands,27.51,haze
2026-04-04T16:38:33.156Z,Andaman and Nicobar Islands,26.51,mist
2026-04-04T18:46:33.145Z,Andaman and Nicobar Islands,26.8,overcast clouds
2026-04-04T20:35:10.063Z,Andaman and Nicobar Islands,26.81,overcast clouds
2026-04-04T22:32:34.533Z,Andaman and Nicobar Islands,26.71,overcast clouds
2026-04-05T02:42:17.700Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-04-05T05:45:27.173Z,Andaman and Nicobar Islands,32.51,scattered clouds
2026-04-05T07:10:36.764Z,Andaman and Nicobar Islands,31.05,broken clouds
2026-04-05T08:48:16.932Z,Andaman and Nicobar Islands,30.51,scattered clouds
2026-04-05T10:37:27.183Z,Andaman and Nicobar Islands,31.51,scattered clouds
2026-04-05T13:02:43.878Z,Andaman and Nicobar Islands,28.51,scattered clouds
2026-04-05T14:37:19.652Z,Andaman and Nicobar Islands,27.51,haze
2026-04-05T16:39:37.229Z,Andaman and Nicobar Islands,26.51,haze
2026-04-05T18:49:28.765Z,Andaman and Nicobar Islands,25.51,mist
2026-04-05T20:36:50.624Z,Andaman and Nicobar Islands,26.71,clear sky
2026-04-05T22:34:32.556Z,Andaman and Nicobar Islands,26.46,clear sky
2026-04-06T02:43:31.227Z,Andaman and Nicobar Islands,29.51,few clouds
2026-04-06T06:00:00.357Z,Andaman and Nicobar Islands,31.51,few clouds
2026-04-06T07:58:13.403Z,Andaman and Nicobar Islands,30.85,clear sky
2026-04-06T09:18:44.755Z,Andaman and Nicobar Islands,30.51,clear sky
2026-04-06T10:59:39.717Z,Andaman and Nicobar Islands,30.51,few clouds
2026-04-06T13:16:19.566Z,Andaman and Nicobar Islands,28.51,haze
2026-04-06T14:51:14.949Z,Andaman and Nicobar Islands,28.3,overcast clouds
2026-04-06T16:52:43.601Z,Andaman and Nicobar Islands,27.51,haze
2026-04-06T19:04:40.653Z,Andaman and Nicobar Islands,27.58,overcast clouds
2026-04-06T20:39:52.276Z,Andaman and Nicobar Islands,27.21,overcast clouds
2026-04-06T22:39:37.671Z,Andaman and Nicobar Islands,26.93,overcast clouds
2026-04-07T02:37:44.015Z,Andaman and Nicobar Islands,29.56,scattered clouds
2026-04-07T05:47:38.233Z,Andaman and Nicobar Islands,30.32,few clouds
2026-04-07T07:21:41.508Z,Andaman and Nicobar Islands,31.51,scattered clouds
2026-04-07T09:05:48.083Z,Andaman and Nicobar Islands,30.09,clear sky
2026-04-07T10:58:12.233Z,Andaman and Nicobar Islands,29.51,scattered clouds
2026-04-07T13:23:46.865Z,Andaman and Nicobar Islands,28.47,overcast clouds
2026-04-07T15:11:46.340Z,Andaman and Nicobar Islands,28.28,overcast clouds
2026-04-07T17:02:10.538Z,Andaman and Nicobar Islands,27.73,overcast clouds
2026-04-07T19:07:35.467Z,Andaman and Nicobar Islands,26.51,mist
2026-04-07T20:51:19.005Z,Andaman and Nicobar Islands,26.89,overcast clouds
2026-04-07T22:40:10.043Z,Andaman and Nicobar Islands,26.62,overcast clouds
2026-04-08T02:38:33.825Z,Andaman and Nicobar Islands,29.84,overcast clouds
2026-04-08T05:48:02.842Z,Andaman and Nicobar Islands,30.1,broken clouds
2026-04-08T07:24:28.430Z,Andaman and Nicobar Islands,30.14,scattered clouds
2026-04-08T09:04:37.607Z,Andaman and Nicobar Islands,31.51,scattered clouds
2026-04-08T10:59:39.155Z,Andaman and Nicobar Islands,29.33,scattered clouds
2026-04-08T13:24:48.161Z,Andaman and Nicobar Islands,28.35,broken clouds
2026-04-08T15:12:43.559Z,Andaman and Nicobar Islands,28.35,broken clouds
2026-04-08T17:05:53.459Z,Andaman and Nicobar Islands,27.93,broken clouds
2026-04-08T19:20:30.406Z,Andaman and Nicobar Islands,25.51,mist
2026-04-08T20:47:12.068Z,Andaman and Nicobar Islands,26.63,scattered clouds
2026-04-08T22:41:24.691Z,Andaman and Nicobar Islands,26.47,scattered clouds
2026-04-09T02:33:25.592Z,Andaman and Nicobar Islands,29.51,few clouds
2026-04-09T05:49:48.226Z,Andaman and Nicobar Islands,30.51,scattered clouds
2026-04-09T07:27:07.848Z,Andaman and Nicobar Islands,30.43,few clouds
2026-04-09T09:11:20.283Z,Andaman and Nicobar Islands,31.51,scattered clouds
2026-04-09T11:01:15.584Z,Andaman and Nicobar Islands,29.19,scattered clouds
2026-04-09T13:46:07.491Z,Andaman and Nicobar Islands,27.95,few clouds
2026-04-09T15:23:53.630Z,Andaman and Nicobar Islands,27.69,clear sky
2026-04-09T17:10:05.308Z,Andaman and Nicobar Islands,27.27,few clouds
2026-04-09T19:10:57.041Z,Andaman and Nicobar Islands,26.99,overcast clouds
2026-04-09T20:54:20.012Z,Andaman and Nicobar Islands,26.61,overcast clouds
2026-04-09T22:42:53.021Z,Andaman and Nicobar Islands,26.38,overcast clouds
2026-04-10T02:45:15.976Z,Andaman and Nicobar Islands,28.51,scattered clouds
2026-04-10T05:59:22.068Z,Andaman and Nicobar Islands,30.74,overcast clouds
2026-04-10T07:55:09.939Z,Andaman and Nicobar Islands,30.79,broken clouds
2026-04-10T09:12:59.013Z,Andaman and Nicobar Islands,30.2,broken clouds
2026-04-10T10:57:52.233Z,Andaman and Nicobar Islands,29.16,broken clouds
2026-04-10T13:16:45.451Z,Andaman and Nicobar Islands,28.77,overcast clouds
2026-04-10T14:50:44.287Z,Andaman and Nicobar Islands,28.32,overcast clouds
2026-04-10T16:54:20.253Z,Andaman and Nicobar Islands,25.51,mist
2026-04-10T18:57:38.691Z,Andaman and Nicobar Islands,25.51,mist
2026-04-10T20:40:46.941Z,Andaman and Nicobar Islands,27.69,overcast clouds
2026-04-10T22:40:04.636Z,Andaman and Nicobar Islands,27.16,overcast clouds
2026-04-11T02:29:48.551Z,Andaman and Nicobar Islands,28.69,overcast clouds
2026-04-11T05:25:36.561Z,Andaman and Nicobar Islands,30.5,broken clouds
2026-04-11T07:03:32.047Z,Andaman and Nicobar Islands,30.71,clear sky
2026-04-11T08:49:45.232Z,Andaman and Nicobar Islands,31.51,scattered clouds
2026-04-11T10:37:05.390Z,Andaman and Nicobar Islands,29.78,clear sky
2026-04-11T13:03:31.036Z,Andaman and Nicobar Islands,28.81,few clouds
2026-04-11T14:37:45.300Z,Andaman and Nicobar Islands,28.15,clear sky
2026-04-11T16:40:09.585Z,Andaman and Nicobar Islands,28.51,haze
2026-04-11T18:50:06.277Z,Andaman and Nicobar Islands,27.35,few clouds
2026-04-11T20:36:41.839Z,Andaman and Nicobar Islands,27.01,few clouds
2026-04-11T22:35:03.131Z,Andaman and Nicobar Islands,26.98,few clouds
2026-04-12T02:48:58.072Z,Andaman and Nicobar Islands,30.51,few clouds
2026-04-12T05:54:51.938Z,Andaman and Nicobar Islands,32.51,scattered clouds
2026-04-12T07:17:50.405Z,Andaman and Nicobar Islands,31.68,clear sky
2026-04-12T08:52:36.618Z,Andaman and Nicobar Islands,31.06,clear sky
2026-04-12T10:40:46.247Z,Andaman and Nicobar Islands,30.51,scattered clouds
2026-04-12T13:06:22.135Z,Andaman and Nicobar Islands,29.13,broken clouds
2026-04-12T14:41:26.535Z,Andaman and Nicobar Islands,27.51,drizzle
2026-04-12T16:42:10.674Z,Andaman and Nicobar Islands,28.89,broken clouds
2026-04-12T18:54:19.747Z,Andaman and Nicobar Islands,26.51,mist
